Origin,Destination,Date,Price ($),Num Stops,Connection,Duration (h),Departure,Arrival,Carrier
LIH,ITO,2019-12-14,146,1,(OGG),3.42,2:25p,5:50p,Hawaiian Airlines
LIH,ITO,2019-12-14,146,1,(OGG),3.42,2:25p,5:50p,Hawaiian Airlines
LIH,ITO,2019-12-14,175,1,(HNL),1.93,3:15p,5:11p,Hawaiian Airlines
LIH,ITO,2019-12-14,175,1,(HNL),1.93,3:15p,5:11p,Hawaiian Airlines
LIH,ITO,2019-12-14,175,1,(HNL),6.77,11:05p,5:51a,Hawaiian Airlines
LIH,ITO,2019-12-14,175,1,(HNL),6.77,11:05p,5:51a,Hawaiian Airlines
LIH,ITO,2019-12-14,179,1,(HNL),8.47,9:23p,5:51a,Hawaiian Airlines
LIH,ITO,2019-12-14,179,1,(HNL),8.47,9:23p,5:51a,Hawaiian Airlines
LIH,ITO,2019-12-15,146,1,(HNL),1.93,3:15p,5:11p,Hawaiian Airlines
LIH,ITO,2019-12-15,146,1,(HNL),1.93,3:15p,5:11p,Hawaiian Airlines
LIH,ITO,2019-12-15,146,1,(HNL),1.95,6:35p,8:32p,Hawaiian Airlines
LIH,ITO,2019-12-15,146,1,(HNL),1.95,6:35p,8:32p,Hawaiian Airlines
LIH,ITO,2019-12-15,146,1,(HNL),2.13,12:11p,2:19p,Hawaiian Airlines
LIH,ITO,2019-12-15,146,1,(HNL),2.13,12:11p,2:19p,Hawaiian Airlines
LIH,ITO,2019-12-15,146,1,(HNL),2.25,4:59p,7:14p,Hawaiian Airlines
LIH,ITO,2019-12-15,146,1,(HNL),2.25,4:59p,7:14p,Hawaiian Airlines
LIH,ITO,2019-12-15,146,1,(HNL),2.30,5:35p,7:53p,Hawaiian Airlines
LIH,ITO,2019-12-15,146,1,(HNL),2.30,5:35p,7:53p,Hawaiian Airlines
LIH,ITO,2019-12-15,146,1,(HNL),2.65,1:50p,4:29p,Hawaiian Airlines
LIH,ITO,2019-12-15,146,1,(HNL),2.65,1:50p,4:29p,Hawaiian Airlines
LIH,ITO,2019-12-15,146,1,(HNL),2.73,6:32a,9:16a,Hawaiian Airlines
LIH,ITO,2019-12-15,146,1,(HNL),2.73,6:32a,9:16a,Hawaiian Airlines
LIH,ITO,2019-12-15,146,1,(OGG),3.42,2:25p,5:50p,Hawaiian Airlines
LIH,ITO,2019-12-15,146,1,(OGG),3.42,2:25p,5:50p,Hawaiian Airlines
LIH,ITO,2019-12-15,175,1,(HNL),2.40,8:47a,11:11a,Hawaiian Airlines
LIH,ITO,2019-12-15,175,1,(HNL),2.40,8:47a,11:11a,Hawaiian Airlines
LIH,ITO,2019-12-15,175,1,(HNL),6.77,11:05p,5:51a,Hawaiian Airlines
LIH,ITO,2019-12-15,175,1,(HNL),6.77,11:05p,5:51a,Hawaiian Airlines
HNL,SEA,2019-12-14,263,1,(SFO),8.45,8:00a,6:27p,United Airlines
HNL,SEA,2019-12-14,263,1,(SFO),8.73,10:00p,8:44a,United Airlines
HNL,SEA,2019-12-14,263,1,(LAX),9.38,7:00a,6:23p,United Airlines
HNL,SEA,2019-12-14,263,1,(LAX),11.77,10:50p,12:36p,United Airlines
HNL,SEA,2019-12-14,263,1,(LAX),16.62,10:20p,4:57p,American Airlines
HNL,SEA,2019-12-14,263,1,(LAX),19.43,3:26p,12:52p,American Airlines
HNL,SEA,2019-12-14,267,2,"(LAX, SFO)",12.92,7:00a,9:55p,United Airlines
HNL,SEA,2019-12-14,272,1,(LAX),22.62,10:20p,10:57p,American Airlines
HNL,SEA,2019-12-14,272,1,(LAX),23.52,3:26p,4:57p,American Airlines
